Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Prob_Home,Prob_Draw,Prob_Away,HomeWin_Pct,HomeWin_StdDev,Optimal_Advantage,TeamHomeAdvantage,HomeAdvantageUsed,Home_Elo,Away_Elo,Relative_Home_Advantage,Elo_Difference,Home_Attack,Away_Defense,Away_Attack,Home_Defense,Pred_Home_Goals,Pred_Away_Goals,Home_Elo_I,Away_Elo_I,Home_Avg_Goals_I,Away_Avg_Goals_I,Pred_Home_GoalsF,Pred_Away_GoalsF,Home_Elo_I_Norm,Away_Elo_I_Norm,Home_Power,Away_Power,Home_Avg_Odd_H,Away_Avg_Odd_A,Pred_Home_Odd_Goals,Pred_Away_Odd_Goals,BackHome
1.67,3.9,4.75,1.57,2.38,1.57,2.25,0.5618659,0.24059387,0.19754022,0.45994833,0.49871555,-27.890514,25.976322,25.976322,1522.4998,1693.0818,0.17317548,-144.60577,3,1.6,1.3,0.9,1.9366152,1.1933503,1924.1257,1762.6096,2.9,1.6,3.2774155,1.3777592,0.92812055,0.85021174,1.8678385,1.0612308,1.309,2.129,1.5648022,1.1878773,1
3,2.75,2.8,3.4,1.33,2.25,1.57,0.31622177,0.3449692,0.33880904,0.44401243,0.4970488,-39.067974,19.98959,19.98959,1631.7252,1471.8978,0.13326393,179.81697,1,1.1,1.3,0.3,1.0478952,1.1111082,1444.0297,1451.1873,1.1,0.9,1.1062284,0.9047543,0.6965416,0.69999415,0.8604163,0.7818982,2.746,3.465,1.3412596,1.2257565,0
2.05,2.95,3.85,2.42,1.44,2.07,1.6,0.4489574,0.31198734,0.23905525,0.4365256,0.49600485,-44.34578,-76.13268,-76.13268,1367.9203,1558.9347,-0.5075512,-267.14706,1.6,1.1,0.9,1.4,1.537742,1.1720073,1583.7983,1483.714,1.6,1.1,1.5628259,1.1079245,0.7639604,0.7156837,1.0835066,0.87258,2.407,3.732,1.456111,1.1457373,1
1.9,3.25,3.6,1.88,1.93,1.73,2,0.47339672,0.276755,0.24984828,0.37089992,0.48324898,-91.7852,-142.61893,-142.61893,1325.6066,1488.9854,-0.95079285,-305.99777,1.6,1.8,1.1,1,1.3349439,1.2808945,1488.9097,1183.5461,1.6,1,1.5132852,1.0723839,0.7181899,0.5708949,1.036228,0.7714905,1.935,3.123,1.5113684,1.154084,1
2.63,3,2.5,2.05,1.75,1.8,1.91,0.3414523,0.29933986,0.35920784,0.37089992,0.48324898,-91.7852,48.929665,48.929665,1428.4974,1467.1433,0.32619774,10.283811,1.2,1.5,0.7,1,1.2561836,1.2806804,1467.3585,1465.9415,1.3,2.1,1.350367,2.2550495,0.7077945,0.70711106,0.9648235,1.3262864,2.683,2.805,1.287958,1.3024858,1
2.6,3.2,2.5,2.05,1.75,1.83,1.83,0.35056967,0.28483787,0.36459246,0.39512196,0.48911554,-73.97466,-134.31683,-134.31683,1517.0662,1323.2117,-0.8954456,59.53761,1,0.8,0.9,1.1,1.133582,1.1309639,1390.8579,1589.6797,0.9,1.5,1.0308539,1.4283787,0.6708937,0.76679736,0.81487775,1.0314299,4.146,2.108,0.93641,1.6629934,1
2.8,3.5,2.5,1.83,2.03,1.62,2.2,0.34246576,0.2739726,0.38356164,0.44237918,0.4968997,-40.21772,-143.00455,-143.00455,1724.7954,1619.802,-0.9533636,-38.01112,1.9,1.2,1,1.4,2.1503987,1.2691764,1735.8234,1749.0847,1.9,1.4,1.8380796,1.2558033,0.8372911,0.8436879,1.2376065,1.0085341,1.629,3.059,1.5891274,1.1205935,1
2,3.7,3.5,1.67,2.2,1.57,2.25,0.4734918,0.2559415,0.27056673,0.42028984,0.49381593,-55.864796,-72.737434,-72.737434,1600.7039,1426.1442,-0.48491624,101.82227,1.6,1.1,1.6,1.4,1.2681276,1.225003,1864.579,1689.9966,1.6,1.2,1.3961953,1.1290262,0.8993976,0.81518614,1.0981168,0.94072217,1.801,2.658,1.4927381,1.191872,0
2.4,3.2,2.55,1.88,1.98,1.67,2.1,0.3715847,0.27868852,0.34972677,0.40320122,0.49072757,-68.12244,-12.413693,-12.413693,1585.3743,1647.4517,-0.08275796,-74.49109,1.4,1.6,1.7,1.1,1.4607753,1.1511103,1583.3248,1666.4052,1.4,1.8,1.2198849,1.8320979,0.763732,0.8038066,0.94619316,1.2151232,2.45,3.078,1.3724083,1.2319955,0
1.9,3.6,3.8,1.7,2.1,1.62,2.2,0.49315068,0.26027396,0.24657534,0.43631178,0.4961631,-44.496803,-60.50707,-60.50707,1525.83,1718.169,-0.40338045,-252.84605,1.5,2.1,0.9,1.1,1.3433924,1.172334,1614.9742,1519.6222,1.5,1.5,1.4965433,1.3520086,0.7789984,0.7330044,1.0660163,0.9806061,2.413,3.228,1.3979981,1.2077863,0
1.8,3.1,4.2,2.5,1.5,2.12,1.57,0.4977064,0.28899083,0.21330275,0.4365256,0.49600485,-44.34578,150,150,1619.3857,1367.9203,1,401.46536,1.8,0.9,1,0.6,1.6933385,1.1010046,1521.0532,1450.5704,1.8,0.6,1.7320008,0.64957523,0.73369473,0.6996966,1.1330172,0.67964804,2,4.039,1.6053523,1.0580169,1
3.4,3.6,2,1.9,1.95,1.73,2,0.27439025,0.25914633,0.46646342,0.40320122,0.49072757,-68.12244,-89.60593,-89.60593,1595.8625,1650.7046,-0.59737283,-144.448,1.3,1.3,0.9,1.1,1.3223706,1.10125,1579.0381,1690.0778,1.3,0.8,1.2866696,0.8176,0.7616642,0.8152253,0.9716664,0.8161752,2.68,3.023,1.310944,1.2730484,1
3.1,3.5,2.2,2.05,1.8,1.8,1.91,0.30350807,0.26882145,0.42767048,0.40320122,0.49072757,-68.12244,-61.186985,-61.186985,1660.6212,1557.3857,-0.40791324,42.048443,0.9,1.2,1,1.6,1.0197245,1.1716809,1639.0513,1548.9934,0.9,1.1,1.0143836,0.8893127,0.79061216,0.7471719,0.8801207,0.8040282,2.956,2.658,1.2119664,1.3656338,1
2.5,3.3,2.8,2.05,1.75,1.8,1.95,0.37729686,0.28583094,0.3368722,0.44039735,0.4966404,-41.614025,4.632749,4.632749,1747.3005,1640.2776,0.030884994,111.65571,1.8,1.3,1,0.9,1.3675023,1.1821036,1772.0737,1613.2839,1.8,1,1.7320008,0.9219864,0.85477686,0.77818304,1.2056664,0.8357044,1.918,2.395,1.4316343,1.2416784,1
2.45,3.35,2.47,1.65,1.98,1.74,2.02,0.3672088,0.2685557,0.36423546,0.40748033,0.49160755,-65.03846,24.607216,24.607216,1880.3597,1622.1794,0.1640481,282.7876,0.6,1.5,1.1,1.2,1.3292254,1.2804663,1416.416,1572.8896,0.6,1,0.83513874,0.8374573,0.68322194,0.75869846,0.74398863,0.790202,6.054,6.423,0.9319373,1.3336904,0
3.4,3.25,2.1,2.03,1.83,1.73,2,0.2728363,0.28542873,0.44173497,0.3895284,0.4877339,-78.05053,-38.764004,-38.764004,1572.2648,1627.1777,-0.2584267,-93.67697,0.6,1.2,1.1,1.2,1.1709367,1.1013727,1382.4271,1523.2885,0.6,0.9,0.82179546,0.94281954,0.666827,0.73477286,0.72881436,0.81799155,3.025,2.418,1.174588,1.4113222,0
